Address,ListingPrice,DOM,RMV,RMVIMPR,Ratio,City
4055 NE 13TH TER,475000.0,4.0,449470.0,253470.0,1.0568002313836296,Gresham
1208 SE 209TH AVE,425000.0,6.0,382170.0,162170.0,1.1120705445220713,Gresham
4343 NE 1ST ST,459000.0,2.0,805410.0,222410.0,0.5698960777740529,Gresham
450 NE 22ND ST,385000.0,2.0,359350.0,161850.0,1.0713788785306804,Gresham
2036 NW 14TH ST,455000.0,3.0,462220.0,268510.0,0.9843797325948682,Gresham
1495 SE EVELYN CT,445000.0,3.0,437690.0,221440.0,1.0167013182846307,Gresham
85 NE 23RD ST,449900.0,3.0,403200.0,209700.0,1.1158234126984128,Gresham
1384 NE 19TH ST,325000.0,4.0,379860.0,159860.0,0.8555783709787816,Gresham
2390 NE SPRUCE AVE,399000.0,5.0,373040.0,183040.0,1.0695903924512116,Gresham
2200 NE LIBERTY AVE,450000.0,5.0,432240.0,243810.0,1.0410882842865075,Gresham
4671 SE 21ST TER,459000.0,5.0,402090.0,223090.0,1.1415354771319854,Gresham
3915 SW DUNIWAY LN,469900.0,6.0,317580.0,96530.0,1.4796271805529315,Gresham
3933 SW DUNIWAY LN,499900.0,6.0,481450.0,260400.0,1.0383217364212276,Gresham
7634 SE HOGAN RD,549900.0,6.0,516220.0,191020.0,1.0652435008329781,Gresham
4191 NE EL CAMINO DR,539900.0,6.0,451170.0,251170.0,1.1966664450207238,Gresham
1711 NW 19TH ST,600000.0,7.0,487620.0,267620.0,1.2304663467454164,Gresham
2513 NW 3RD TER,374900.0,7.0,380820.0,204320.0,0.9844545979727956,Gresham
6164 SE 29TH WAY,599000.0,7.0,571180.0,309430.0,1.0487061871914283,Gresham
2652 SW PHYLLIS DR,585000.0,8.0,495670.0,261170.0,1.1802207113603809,Gresham
875 SE 25TH ST,650000.0,10.0,544380.0,293880.0,1.1940188838678865,Gresham
2074 SE LINDEN PL,565000.0,11.0,511490.0,292990.0,1.104615926020059,Gresham
1527 NE LA MESA PL,565000.0,14.0,428910.0,223910.0,1.3172926721223566,Gresham
3545 SE 1ST ST,524900.0,14.0,492460.0,304210.0,1.0658733704260244,Gresham
23 SE 205TH PL,445000.0,15.0,394510.0,232260.0,1.1279815467288534,Gresham
994 NW WALLULA AVE,615000.0,18.0,542010.0,339260.0,1.134665412077268,Gresham
317 SW ANGELINE AVE,425000.0,20.0,396210.0,186210.0,1.0726634865349183,Gresham
2401 SW ELEVEN MILE DR,629000.0,26.0,564350.0,342350.0,1.11455656950474,Gresham
6433 SE 23RD ST,524900.0,27.0,536940.0,339440.0,0.9775766379856222,Gresham
3907 SW DUNIWAY LN,499900.0,27.0,299170.0,78120.0,1.670956312464485,Gresham
33320 SE FRANCIS RD,519900.0,29.0,672880.0,327880.0,0.7726489121388658,Gresham
2578 NE MORLAN AVE,444000.0,30.0,421570.0,231570.0,1.0532058732832033,Gresham
65 SW PLEASANT VIEW AVE,559000.0,39.0,510680.0,290680.0,1.094618939453278,Gresham
1371 NE BARNES CT,559989.0,40.0,492160.0,277660.0,1.1378190019505852,Gresham
820 NE COCHRAN AVE,455000.0,47.0,401430.0,211430.0,1.1334479236728694,Gresham
830 SE 214TH AVE,465000.0,49.0,372420.0,182420.0,1.2485903012727566,Gresham
4111 NE 3RD ST,494000.0,53.0,494570.0,305830.0,0.9988474836726854,Gresham
3749 SW 6TH ST,500000.0,56.0,486710.0,291710.0,1.0273057878408087,Gresham
2125 SE 18TH ALY,489000.0,65.0,531030.0,344530.0,0.9208519292695327,Gresham
875 SE RENE AVE,498000.0,68.0,424800.0,243300.0,1.1723163841807909,Gresham
2672 SE VISTA WAY,1000000.0,68.0,942340.0,651090.0,1.0611881062037056,Gresham
3279 SE ANDERSON RD,479900.0,69.0,389830.0,180330.0,1.2310494318036067,Gresham
2294 SW WALLULA LN,486000.0,69.0,542030.0,344280.0,0.896629337859528,Gresham
760 SE WILLIAMS RD,399000.0,70.0,408460.0,162210.0,0.9768398374381825,Gresham
2075 SE PALMBLAD RD,785000.0,79.0,648180.0,237970.0,1.21108334104724,Gresham
3756 SW 7TH CT,489900.0,82.0,503840.0,283840.0,0.972332486503652,Gresham
54 NW 13TH ST,980000.0,82.0,1085170.0,727170.0,0.903084309370882,Gresham
27238 SE CARL ST,229950.0,98.0,484810.0,190810.0,0.4743095233184134,Gresham
18505 SE CLINTON ST,529000.0,103.0,458200.0,263200.0,1.1545176778699258,Gresham
1407 SE BEECH PL,848000.0,105.0,855340.0,539090.0,0.9914186171580892,Gresham
4021 NW 3RD ST,499950.0,131.0,520670.0,322170.0,0.9602051203257341,Gresham
5856 SE WOODLAND DR,315000.0,145.0,351930.0,170430.0,0.8950643593896513,Gresham
32022 SE DODGE PARK BLVD,850000.0,157.0,656600.0,399600.0,1.2945476698141942,Gresham
361 NE VILLAGE SQUIRE AVE,259900.0,164.0,283880.0,140130.0,0.9155276877553896,Gresham
420 SE LINDEN AVE,375000.0,167.0,322230.0,137230.0,1.163765012568662,Gresham
3010 SW PHYLLIS DR,550000.0,200.0,553610.0,277860.0,0.9934791640324416,Gresham
179 SE 46TH DR,699990.0,209.0,764380.0,544380.0,0.9157617938721578,Gresham
7008 SE 302ND AVE,699500.0,227.0,926160.0,219080.0,0.7552690679796148,Gresham
1026 SE 213TH AVE,440000.0,253.0,466010.0,278510.0,0.9441857470869723,Gresham
152 SE 205TH DR,429999.0,308.0,389430.0,218430.0,1.104175333179262,Gresham
1615 HARLANDALE AVE,445000.0,99.0,452120.0,267620.0,0.984251968503937,Salem
3280 DUNCAN AVE,240000.0,1.0,376500.0,239460.0,0.6374501992031872,Salem
4986 CHAN ST S,350000.0,25.0,516800.0,351800.0,0.6772445820433437,Salem
2332 VENETA AVE S,675000.0,1.0,677110.0,512110.0,0.9968838150374384,Salem
1923 RITING CT,485000.0,2.0,430720.0,246220.0,1.126021545319465,Salem
4055 ALANA AVE SE,464900.0,4.0,471250.0,306250.0,0.986525198938992,Salem
4554 JAN REE DR,475000.0,4.0,466720.0,329680.0,1.017740829619472,Salem
2749 MERCED CT SE,629900.0,4.0,654850.0,470350.0,0.9618996716805376,Salem
1333 MORNINGSIDE DR,419800.0,5.0,401490.0,216990.0,1.045605120924556,Salem
5657 BOUNDARY DR,498000.0,5.0,572610.0,407610.0,0.8697018913396553,Salem
1149 CAYUSE CIR SE,385000.0,5.0,366850.0,224350.0,1.0494752623688155,Salem
1392 62ND AVE SE,775000.0,5.0,737280.0,350500.0,1.0511610243055556,Salem
2072 EQUESTRIAN LOOP,499000.0,6.0,475350.0,310350.0,1.049752813716209,Salem
2049 LIMESTONE AVE,659900.0,6.0,701380.0,494280.0,0.9408594485157832,Salem
270 BRINK CT,329900.0,6.0,407400.0,270360.0,0.8097692685321551,Salem
5578 FERNBROOK CT S,393500.0,7.0,369890.0,204890.0,1.0638297872340423,Salem
3386 CHEROKEE DR S,785000.0,8.0,686880.0,516880.0,1.1428488236664338,Salem
527 GRANDOVER AVE SE,569900.0,9.0,527380.0,397380.0,1.0806249762979256,Salem
4691 RAWHIDE CT NE,399900.0,9.0,381010.0,243970.0,1.049578751213879,Salem
1955 HIGHWAY AVE NE,275000.0,10.0,428790.0,245680.0,0.6413395834790924,Salem
6418 DORAL DR SE,515000.0,10.0,534060.0,369060.0,0.9643111260907016,Salem
4974 NINA AVE SE,415000.0,11.0,352420.0,187420.0,1.1775722149707737,Salem
830 KUMLER ST SE,365000.0,11.0,341120.0,153620.0,1.0700046904315197,Salem
911 HURON CT SE,399000.0,12.0,465890.0,281390.0,0.8564253364528107,Salem
5946 WALINA CT SE,799997.0,12.0,661560.0,404130.0,1.209258419493319,Salem
4290 IVORY WAY NE,464000.0,12.0,492850.0,355810.0,0.9414629197524602,Salem
6889 BLAZER LN SE,830000.0,13.0,835710.0,508300.0,0.9931674863289898,Salem
253 EIDER AVE,669900.0,14.0,760330.0,575330.0,0.8810648008101746,Salem
1810 19TH ST,190000.0,14.0,405960.0,268920.0,0.4680264065425165,Salem
945 HOOD ST NE,354900.0,15.0,351860.0,214820.0,1.0086397999204229,Salem
766 20TH ST NE,359900.0,15.0,331030.0,196490.0,1.0872126393378243,Salem
4275 WHEAT CT,515000.0,15.0,548080.0,411040.0,0.9396438476134872,Salem
838 HAZELTINE AVE SE,575000.0,17.0,618420.0,470420.0,0.9297888166618156,Salem
3440 OSBORN AVE NE,317000.0,18.0,362070.0,235200.0,0.875521308034358,Salem
4799 SESAME ST,415000.0,18.0,434720.0,297680.0,0.9546374677953624,Salem
1860 PLATEAU ST NE,425000.0,19.0,447240.0,310200.0,0.9502727841874608,Salem
2735 SUMMER ST SE,250000.0,19.0,319060.0,134560.0,0.7835516830690152,Salem
319 18TH ST,300000.0,20.0,273530.0,136490.0,1.09677183489928,Salem
4039 VILLAGE CENTER DR SE,399900.0,21.0,411750.0,255170.0,0.9712204007285976,Salem
142 45TH AVE NE,410000.0,22.0,303120.0,166080.0,1.3525996305093693,Salem
870 IRONWOOD DR SE,499000.0,24.0,484980.0,319980.0,1.0289084085941689,Salem
1305 20TH ST,400000.0,27.0,420940.0,321190.0,0.9502541929966266,Salem
1155 18TH ST NE,455000.0,27.0,417920.0,270880.0,1.0887251148545176,Salem
1140 CHANDLER DR S,675000.0,28.0,776250.0,608250.0,0.8695652173913043,Salem
4744 RAVINE CT NE,415000.0,28.0,422550.0,285510.0,0.9821322920364454,Salem
1630 BERRY ST SE,369900.0,29.0,323850.0,139350.0,1.14219546086151,Salem
2271 TOWNSEND WAY SE,345000.0,29.0,292470.0,181420.0,1.179608164939994,Salem
790 HANSEN AVE S,384900.0,30.0,310360.0,145360.0,1.2401727026678695,Salem
155 KASHMIR ST SE,514999.0,30.0,468030.0,303030.0,1.100354678118924,Salem
4914 SONG SPARROW ST NE,360000.0,31.0,332800.0,195760.0,1.0817307692307692,Salem
4853 BURNTWOOD CT SE,360000.0,31.0,312640.0,175600.0,1.1514841351074718,Salem
1030 LEFFELLE ST SE,425000.0,32.0,378930.0,194430.0,1.1215791834903543,Salem
3889 DAKOTA RD SE,299000.0,32.0,396120.0,231120.0,0.7548217711804504,Salem
1041 BARNES AVE,422900.0,33.0,454600.0,324600.0,0.9302683677958644,Salem
3185 LINK CT S,365000.0,34.0,420900.0,278400.0,0.8671893561416013,Salem
2775 FOXHAVEN DR SE,625000.0,34.0,595280.0,399480.0,1.0499260852036016,Salem
1030 21ST ST NE,295000.0,35.0,290680.0,153640.0,1.0148617035915783,Salem
1810 LIBERTY ST NE,294000.0,35.0,199090.0,101840.0,1.4767190717765837,Salem
398 21ST ST,355000.0,35.0,279810.0,142770.0,1.2687180586826776,Salem
3635 LACHS CT,499000.0,38.0,445760.0,280760.0,1.1194364680545583,Salem
4933 REGAL DR NE,333900.0,43.0,319190.0,182150.0,1.04608540367806,Salem
530 FAIRVIEW AVE SE,295000.0,45.0,278580.0,94080.0,1.0589417761504774,Salem
1624 YORK BUTTE AVE,499900.0,46.0,650090.0,482090.0,0.7689704502453506,Salem
2872 BLUFF AVE,405900.0,46.0,450330.0,265830.0,0.9013390180534276,Salem
700 PALISADES DR SE,699000.0,47.0,822020.0,632020.0,0.8503442738619499,Salem
4748 MALL CT NE,389900.0,49.0,345920.0,208880.0,1.1271392229417203,Salem
1121 COLE RD,290000.0,51.0,413650.0,234960.0,0.7010757887102623,Salem
4722 CAROLINA AVE NE,389990.0,52.0,347760.0,206920.0,1.121434322521279,Salem
5928 LEGACY ST,495000.0,53.0,516720.0,331720.0,0.9579656293543892,Salem
4776 BUFFALO DR SE,309995.0,54.0,316970.0,200740.0,0.9779947629113164,Salem
297 ARLENE AVE SE,375000.0,54.0,381400.0,216400.0,0.9832197168327216,Salem
2630 MOUNTAIN VIEW DR S,449500.0,57.0,466950.0,301950.0,0.9626298318877824,Salem
2451 CRESTVIEW DR S,356900.0,59.0,214110.0,214110.0,1.6669001914903554,Salem
2845 ROCKY RIDGE AVE,429999.0,59.0,505090.0,309290.0,0.8513314458809321,Salem
4549 CIRCUIT RIDER LN S,1300000.0,60.0,1444270.0,1037550.0,0.9001087054359642,Salem
1818 PEPPER TREE CT SE,609900.0,61.0,669390.0,504390.0,0.9111280419486398,Salem
1394 HAYWARD ST S,428000.0,64.0,421230.0,256230.0,1.0160719796785604,Salem
890 ALVINA ST SE,535000.0,64.0,535680.0,370680.0,0.9987305854241338,Salem
4435 CORKI CT SE,390000.0,66.0,359040.0,194040.0,1.086229946524064,Salem
3902 HAWTHORNE AVE,369900.0,66.0,459790.0,362540.0,0.8044977054742383,Salem
1725 24TH ST,449900.0,71.0,432150.0,295110.0,1.0410737012611362,Salem
1110 CROSS ST SE,310000.0,72.0,285110.0,100610.0,1.0872996387359264,Salem
4810 BONANZA DR NE,405000.0,74.0,427270.0,290230.0,0.9478783907131322,Salem
4537 KURTH ST,468000.0,76.0,507800.0,342800.0,0.9216226860968886,Salem
1878 JOSEPH ST S,499000.0,77.0,425670.0,260670.0,1.1722695985152818,Salem
541 INVERNESS DR SE,399900.0,78.0,355930.0,255930.0,1.1235355266484983,Salem
280 BRINK CT SE,395000.0,78.0,348410.0,211370.0,1.1337217645876985,Salem
1874 CEDARCREST DR S,369900.0,78.0,371920.0,206920.0,0.9945687244568724,Salem
5675 BUTTONWOOD CT SE,530000.0,78.0,500320.0,332320.0,1.0593220338983051,Salem
5037 SUMMERFIELD DR SE,510000.0,79.0,555630.0,387630.0,0.9178770044813996,Salem
6782 RAINBOW DR SE,750000.0,81.0,676050.0,409860.0,1.1093854004881296,Salem
4690 IDAHO AVE,309000.0,83.0,321640.0,184600.0,0.9607014052978484,Salem
2235 HOYT ST,345000.0,86.0,313030.0,215780.0,1.1021307861866274,Salem
4781 CURRANT LN NE,414900.0,87.0,502790.0,365750.0,0.8251954096143519,Salem
1447 CONNECTICUT ST SE,415000.0,89.0,415010.0,277970.0,0.9999759041950796,Salem
1788 93RD AVE SE,1600000.0,93.0,1595560.0,796410.0,1.0027827220536991,Salem
475 LESLIE ST SE,675000.0,94.0,797740.0,612590.0,0.8461403464788027,Salem
3623 MYRLA CT S,525000.0,94.0,506310.0,341310.0,1.0369141435089175,Salem
1740 BERRY ST SE,439900.0,95.0,418370.0,233870.0,1.0514616248775008,Salem
1250 HAMPDEN LN NE,799999.0,97.0,816680.0,510590.0,0.9795746191898907,Salem
4020 MANDY AVE,570000.0,98.0,651460.0,466960.0,0.8749577871243054,Salem
162 MUIRFIELD AVE SE,549000.0,100.0,522650.0,357650.0,1.0504161484741223,Salem
4201 WADSWORTH LN,389900.0,100.0,352990.0,215950.0,1.1045638686648347,Salem
255 OWENS ST S,285500.0,101.0,241270.0,121270.0,1.183321589920007,Salem
528 CREEKSIDE DR,595000.0,104.0,586330.0,441330.0,1.0147868947521022,Salem
2677 FORT ROCK CT SE,525000.0,105.0,529460.0,341960.0,0.9915763230461224,Salem
5727 JOYNAK ST,355000.0,108.0,351490.0,265040.0,1.0099860593473498,Salem
735 CHURCH ST SE,450000.0,114.0,481340.0,319440.0,0.9348900984750904,Salem
4852 CHAMELEON CT NE,399900.0,118.0,375430.0,238390.0,1.065178595210825,Salem
4845 COLOMA DR SE,400000.0,120.0,399180.0,234180.0,1.0020542111328223,Salem
5173 FORT ROCK AVE,429900.0,122.0,418660.0,234160.0,1.0268475612668992,Salem
5526 SERENITY DR,650000.0,128.0,851960.0,704010.0,0.7629466172120757,Salem
1345 REES HILL RD,459900.0,132.0,566830.0,401830.0,0.8113543743273998,Salem
8166 SAGHALIE DR,849900.0,133.0,880680.0,462340.0,0.9650497342962256,Salem
565 18TH ST SE,305000.0,134.0,267520.0,130480.0,1.1401016746411483,Salem
496 TIERRA CT NE,475000.0,135.0,528290.0,391250.0,0.8991273732230404,Salem
1567 PARK AVE,389000.0,137.0,392930.0,255890.0,0.9899982185122032,Salem
1212 23RD ST,368500.0,155.0,314570.0,177530.0,1.171440378929968,Salem
4875 LISA ST NE,500000.0,156.0,603330.0,466290.0,0.8287338604080685,Salem
1670 B ST NE,499000.0,157.0,466140.0,329100.0,1.0704938430514437,Salem
1425 17TH ST NE,311000.0,163.0,334870.0,197830.0,0.9287186072207124,Salem
4100 CORDON RD NE,564000.0,170.0,543490.0,316810.0,1.037737584868167,Salem
3295 CAMELLIA DR S,545000.0,171.0,521930.0,356930.0,1.0442013296802253,Salem
4854 PARSLEY AVE,390000.0,176.0,426280.0,289240.0,0.9148916205311064,Salem
484 TRAVIS CT NE,420000.0,176.0,517250.0,382710.0,0.8119864668922184,Salem
6515 PONY PL SE,1399999.0,191.0,1246300.0,953110.0,1.123324239749659,Salem
9076 DALEVIEW RD,985000.0,193.0,780890.0,468190.0,1.2613812444774553,Salem
840 SAHALEE CT,1350000.0,230.0,1369110.0,1026910.0,0.986042027302408,Salem
5395 ANACONDA DR S,490000.0,241.0,516960.0,328960.0,0.9478489631692976,Salem
2021 PIKES PASS CT,750000.0,261.0,931120.0,746620.0,0.8054815705816651,Salem
4769 BAYNE ST NE,399900.0,264.0,419720.0,282680.0,0.9527780425045268,Salem
3880 WELTY AVE SE,495900.0,265.0,328690.0,163690.0,1.5087164197267942,Salem
6220 HARPER LN SE,1297000.0,268.0,1525530.0,1242450.0,0.8501963252115659,Salem
1325 ROSEWAY CT SE,525000.0,269.0,473130.0,285630.0,1.1096316023080337,Salem
5336 ADDISON CT S,549900.0,337.0,628580.0,460580.0,0.8748289796048235,Salem
220 37TH AVE NE,595000.0,376.0,736740.0,519700.0,0.8076119119363683,Salem
3698 AUGUSTA NATIONAL DR S,639900.0,553.0,719450.0,499950.0,0.8894294252554035,Salem
